"","number","c1","c2","c3","c4","c6","c7","c8","c10","c11","c12","c13","c14","c17","c18","c19","c20","c21","c22"
"22519",22518,21.42566308,7.300883787,13.92578027,9.800844724,7.425881834,4.42592871,1.050981445,31.55050488,8.925858396,9.050856443,15.55075488,11.17582324,20.6756748,6.8008916,0.175995117,11.05082519,10.30083691,-100.3224345
"22522",22521,9.925842771,2.05096582,9.550848631,8.925858396,0.675987304,-4.323934569,-4.948924804,18.67570605,1.300977539,7.425881834,2.800954101,5.300915038,16.17574511,3.050950195,-0.074000977,0.800985351,0.425991211,-130.6969599
"22539",22538,9.17585449,-3.323950195,13.92578027,12.55080175,26.17558886,15.42575683,-0.074000977,2.300961913,5.175916991,2.925952148,4.300930663,16.05074707,-2.32396582,7.800875975,-0.074000977,26.550583,18.67570605,-113.5722275
"22540",22539,22.5506455,-2.948956054,10.8008291,14.17577636,26.42558495,21.42566308,4.550926757,7.800875975,9.550848631,4.175932616,26.8005791,23.67562792,-2.32396582,5.675909178,0.175995117,37.05041894,36.92542089,-86.57264939
"22544",22543,15.05076269,8.425866209,13.42578808,13.30079004,27.80056347,31.05051269,21.55066113,0.675987304,4.300930663,3.675940429,24.55061425,0.550989258,-5.573915038,3.550942382,-0.074000977,50.67520604,47.17526073,-100.5724306
"22552",22551,5.550911131,9.17585449,18.17571386,13.17579199,28.92554589,16.92573339,13.42578808,13.42578808,3.425944335,-1.198983398,20.55067675,11.92581152,8.050872068,16.05074707,0.05099707,37.30041503,35.80043847,-90.57258689
"22604",22603,-21.07367285,-19.94869042,-7.948877928,-8.948862303,1.300977539,-3.448948241,-15.69875683,6.175901366,9.925842771,7.300883787,11.42581933,15.30075879,-3.073954101,-0.573993164,0.05099707,-1.448979492,6.550895506,212.7976728
"22612",22611,-19.0737041,-16.19874902,2.300961913,5.425913085,-5.07392285,-5.323918944,10.17583886,11.17582324,8.425866209,12.80079785,61.17504198,43.42531933,-2.573961913,-3.448948241,0.05099707,2.175963867,50.42520995,-9.823848631
"22630",22629,-9.073860349,-18.32371582,-3.448948241,-0.698991211,-7.198889647,-1.448979492,18.30071191,23.92562402,-5.698913085,-4.198936522,32.05049706,10.42583496,5.800907225,-0.698991211,0.05099707,-3.198952148,22.92563964,-55.69813182
"22642",22641,0.300993164,2.550958007,6.8008916,-1.073985351,9.050856443,1.675971679,-14.69877246,10.05084082,0.425991211,4.550926757,34.67545605,14.92576464,7.800875975,6.8008916,0.175995117,5.300915038,27.30057128,-96.57249314
"22694",22693,4.675924804,-0.448995117,-4.198936522,-2.69895996,-4.948924804,-5.448916991,18.550708,-7.44888574,-6.448901366,-5.698913085,-26.57358691,-26.32359081,-0.074000977,-5.448916991,0.05099707,-10.69883496,-26.44858886,139.4238193
"22747",22746,-17.19873339,-30.8235205,-23.82362988,-17.32373144,-30.94851855,-32.07350097,-17.94872168,-9.198858396,7.550879881,1.300977539,-1.198983398,6.050903319,-17.07373535,6.050903319,0.05099707,-9.44885449,-6.698897459,-56.6981162
"22758",22757,13.05079394,6.050903319,14.17577636,12.9257959,11.05082519,22.05065332,19.42569433,-10.07384472,2.675956054,1.425975586,-9.073860349,-10.19884277,6.8008916,0.675987304,-0.074000977,18.30071191,-2.69895996,-70.69789744
"22775",22774,5.675909178,4.300930663,11.80081347,-2.823958007,15.05076269,-0.948987304,-7.323887694,-4.948924804,12.55080175,11.67581543,-3.823942382,18.550708,-3.823942382,17.30072753,-0.198999023,7.925874022,7.800875975,-138.946831
"22781",22780,5.175916991,12.30080566,-0.698991211,-5.698913085,-7.573883787,-12.07381347,0.800985351,-8.073875975,12.30080566,13.17579199,-13.94878418,13.55078613,0.550989258,4.925920897,-0.32399707,-1.823973632,5.675909178,-127.6970068
"22801",22800,-31.07351659,-5.698913085,-7.573883787,-4.823926757,-22.07365722,-11.44882324,0.425991211,-6.323903319,-1.073985351,1.175979492,-4.573930663,-15.94875293,0.05099707,4.175932616,-0.198999023,-20.07368847,1.550973632,45.55028612
"22816",22815,-16.82373925,-1.448979492,-2.198967773,-4.69892871,10.05084082,13.30079004,17.80071972,10.8008291,13.05079394,5.550911131,15.67575293,12.05080957,9.050856443,9.425850584,0.175995117,7.925874022,10.55083301,203.9228115
"22829",22828,6.425897459,0.425991211,3.675940429,-1.448979492,23.30063378,14.67576855,1.925967773,7.550879881,15.05076269,10.55083301,33.80046972,22.42564746,10.67583105,1.300977539,-0.074000977,32.6754873,34.92545214,324.7959228
"22833",22832,-7.573883787,-20.32368457,-15.44876074,-15.0737666,-8.698866209,-16.57374316,-16.07375097,-15.0737666,-10.69883496,-1.323981445,-7.44888574,-3.823942382,-10.57383691,-14.8237705,-0.074000977,4.675924804,0.425991211,259.2969462
"22836",22835,-26.32359081,-41.19835839,-26.823583,-21.69866308,-26.823583,-22.94864355,-23.69863183,-29.19854589,-21.82366113,-4.198936522,-8.073875975,-12.82380175,-31.94850292,-19.57369628,-0.198999023,-11.19882715,1.300977539,185.5480986
"22837",22836,-34.94845605,-48.44824511,-30.07353222,-22.44865136,-32.57349316,-22.8236455,-23.44863574,-35.57344628,-24.07362597,-5.698913085,-9.073860349,-18.07371972,-37.07342284,-20.69867871,-0.074000977,-17.94872168,-1.448979492,174.9232646
"22840",22839,-19.32370019,-32.32349706,-18.69870996,-10.94883105,-20.32368457,-2.32396582,-7.198889647,-12.82380175,-11.57382129,-5.07392285,15.30075879,-19.82369238,-18.07371972,-11.94881543,-0.198999023,-14.94876855,10.67583105,149.9236552
"22848",22847,-17.44872949,-10.69883496,-1.823973632,-3.823942382,-12.69880371,-2.573961913,-10.44883886,-3.198952148,18.550708,13.55078613,24.42561621,1.300977539,-14.19878027,-2.32396582,0.05099707,-5.07392285,20.55067675,-29.07354784
"22871",22870,16.6757373,11.80081347,-2.32396582,6.050903319,19.80068847,16.92573339,13.05079394,16.55073925,10.42583496,13.92578027,51.42519432,41.55034862,17.92571777,-4.823926757,-0.074000977,23.42563183,43.55031737,-78.19778025
"22877",22876,15.42575683,7.425881834,5.050918944,7.800875975,21.92565527,13.05079394,5.925905272,8.425866209,-0.32399707,4.050934569,36.05043456,25.05060644,13.92578027,-1.823973632,-0.074000977,17.05073144,28.6755498,31.30050878
"22892",22891,58.3000869,21.80065722,9.050856443,6.175901366,-0.32399707,-6.698897459,5.050918944,11.17582324,3.050950195,2.550958007,12.9257959,-0.074000977,24.42561621,-0.32399707,-0.074000977,-6.948893553,-0.698991211,-138.821833
"22902",22901,27.92556152,-5.948909178,0.425991211,4.050934569,-6.073907225,-0.198999023,-1.573977539,-7.44888574,-15.82375488,-4.573930663,-24.44862011,-24.9486123,-5.07392285,-1.073985351,-0.448995117,-19.44869824,-26.44858886,327.6708779
"22917",22916,32.6754873,14.5507705,4.42592871,6.425897459,1.425975586,10.8008291,26.92557714,14.67576855,-3.448948241,4.80092285,0.05099707,5.050918944,25.17560449,-7.44888574,0.05099707,-8.698866209,-6.573899413,70.79989158
